frame = 21125	 simulation time = 422.480	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21126	 simulation time = 422.500	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21127	 simulation time = 422.520	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21128	 simulation time = 422.540	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21129	 simulation time = 422.560	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21130	 simulation time = 422.580	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21131	 simulation time = 422.600	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21132	 simulation time = 422.620	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21133	 simulation time = 422.640	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21134	 simulation time = 422.660	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21135	 simulation time = 422.680	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21136	 simulation time = 422.700	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21137	 simulation time = 422.720	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21138	 simulation time = 422.740	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21139	 simulation time = 422.760	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21140	 simulation time = 422.780	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21141	 simulation time = 422.800	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21142	 simulation time = 422.820	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21143	 simulation time = 422.840	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21144	 simulation time = 422.860	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21145	 simulation time = 422.880	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21146	 simulation time = 422.900	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21147	 simulation time = 422.920	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21148	 simulation time = 422.940	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21149	 simulation time = 422.960	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21150	 simulation time = 422.980	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21151	 simulation time = 423.000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21152	 simulation time = 423.020	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21153	 simulation time = 423.040	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21154	 simulation time = 423.060	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21155	 simulation time = 423.080	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21156	 simulation time = 423.100	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21157	 simulation time = 423.120	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21158	 simulation time = 423.140	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21159	 simulation time = 423.160	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21160	 simulation time = 423.180	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21161	 simulation time = 423.200	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21162	 simulation time = 423.220	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21163	 simulation time = 423.240	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21164	 simulation time = 423.260	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21165	 simulation time = 423.280	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21166	 simulation time = 423.300	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21167	 simulation time = 423.320	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21168	 simulation time = 423.340	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21169	 simulation time = 423.360	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21170	 simulation time = 423.380	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21171	 simulation time = 423.400	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21172	 simulation time = 423.420	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21173	 simulation time = 423.440	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21174	 simulation time = 423.460	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21175	 simulation time = 423.480	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21176	 simulation time = 423.500	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21177	 simulation time = 423.520	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21178	 simulation time = 423.540	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21179	 simulation time = 423.560	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21180	 simulation time = 423.580	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21181	 simulation time = 423.600	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21182	 simulation time = 423.620	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21183	 simulation time = 423.640	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21184	 simulation time = 423.660	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21185	 simulation time = 423.680	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21186	 simulation time = 423.700	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21187	 simulation time = 423.720	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21188	 simulation time = 423.740	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21189	 simulation time = 423.760	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21190	 simulation time = 423.780	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21191	 simulation time = 423.800	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21192	 simulation time = 423.820	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21193	 simulation time = 423.840	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 3green
frame = 21194	 simulation time = 423.860	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21195	 simulation time = 423.880	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21196	 simulation time = 423.900	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21197	 simulation time = 423.920	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21198	 simulation time = 423.940	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21199	 simulation time = 423.960	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21200	 simulation time = 423.980	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21201	 simulation time = 424.000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21202	 simulation time = 424.020	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21203	 simulation time = 424.040	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21204	 simulation time = 424.060	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21205	 simulation time = 424.080	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21206	 simulation time = 424.100	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21207	 simulation time = 424.120	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21208	 simulation time = 424.140	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21209	 simulation time = 424.160	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21210	 simulation time = 424.180	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21211	 simulation time = 424.200	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21212	 simulation time = 424.220	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21213	 simulation time = 424.240	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21214	 simulation time = 424.260	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21215	 simulation time = 424.280	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21216	 simulation time = 424.300	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21217	 simulation time = 424.320	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21218	 simulation time = 424.340	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21219	 simulation time = 424.360	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21220	 simulation time = 424.380	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21221	 simulation time = 424.400	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21222	 simulation time = 424.420	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21223	 simulation time = 424.440	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21224	 simulation time = 424.460	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21225	 simulation time = 424.480	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21226	 simulation time = 424.500	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21227	 simulation time = 424.520	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21228	 simulation time = 424.540	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21229	 simulation time = 424.560	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
