frame = 21664	 simulation time = 433.26	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21665	 simulation time = 433.28	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21666	 simulation time = 433.30	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21667	 simulation time = 433.32	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21668	 simulation time = 433.34	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21669	 simulation time = 433.36	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21670	 simulation time = 433.38	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21671	 simulation time = 433.40	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21672	 simulation time = 433.42	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21673	 simulation time = 433.44	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21674	 simulation time = 433.46	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21675	 simulation time = 433.48	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21676	 simulation time = 433.50	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21677	 simulation time = 433.52	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21678	 simulation time = 433.54	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21679	 simulation time = 433.56	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21680	 simulation time = 433.58	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21681	 simulation time = 433.60	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21682	 simulation time = 433.62	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21683	 simulation time = 433.64	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21684	 simulation time = 433.66	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21685	 simulation time = 433.68	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21686	 simulation time = 433.70	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21687	 simulation time = 433.72	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21688	 simulation time = 433.74	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21689	 simulation time = 433.76	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21690	 simulation time = 433.78	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21691	 simulation time = 433.80	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21692	 simulation time = 433.82	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21693	 simulation time = 433.84	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21694	 simulation time = 433.86	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21695	 simulation time = 433.88	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21696	 simulation time = 433.90	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21697	 simulation time = 433.92	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21698	 simulation time = 433.94	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21699	 simulation time = 433.96	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21700	 simulation time = 433.98	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21701	 simulation time = 434.00	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21702	 simulation time = 434.02	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21703	 simulation time = 434.04	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21704	 simulation time = 434.06	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21705	 simulation time = 434.08	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21706	 simulation time = 434.10	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21707	 simulation time = 434.12	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21708	 simulation time = 434.14	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21709	 simulation time = 434.16	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
