frame = 14370	 simulation time = 287.38	 ego_vehicle speed = 8.2160	 ego_vehicle location = 121.7653221631	 next light status = 69red
frame = 14371	 simulation time = 287.40	 ego_vehicle speed = 8.0580	 ego_vehicle location = 121.9264821631	 next light status = 69red
frame = 14372	 simulation time = 287.42	 ego_vehicle speed = 7.9000	 ego_vehicle location = 122.0844821631	 next light status = 69red
frame = 14373	 simulation time = 287.44	 ego_vehicle speed = 7.7420	 ego_vehicle location = 122.2393221631	 next light status = 69red
frame = 14374	 simulation time = 287.46	 ego_vehicle speed = 7.5840	 ego_vehicle location = 122.3910021631	 next light status = 69red
frame = 14375	 simulation time = 287.48	 ego_vehicle speed = 7.4260	 ego_vehicle location = 122.5395221631	 next light status = 69red
frame = 14376	 simulation time = 287.50	 ego_vehicle speed = 7.2680	 ego_vehicle location = 122.6848821631	 next light status = 69red
frame = 14377	 simulation time = 287.52	 ego_vehicle speed = 7.1100	 ego_vehicle location = 122.8270821631	 next light status = 69red
frame = 14378	 simulation time = 287.54	 ego_vehicle speed = 6.9520	 ego_vehicle location = 122.9661221631	 next light status = 69red
frame = 14379	 simulation time = 287.56	 ego_vehicle speed = 6.7940	 ego_vehicle location = 123.1020021631	 next light status = 69red
frame = 14380	 simulation time = 287.58	 ego_vehicle speed = 6.6360	 ego_vehicle location = 123.2347221631	 next light status = 69red
frame = 14381	 simulation time = 287.60	 ego_vehicle speed = 6.4780	 ego_vehicle location = 123.3642821631	 next light status = 69red
frame = 14382	 simulation time = 287.62	 ego_vehicle speed = 6.3200	 ego_vehicle location = 123.4906821631	 next light status = 69red
frame = 14383	 simulation time = 287.64	 ego_vehicle speed = 6.1620	 ego_vehicle location = 123.6139221631	 next light status = 69red
frame = 14384	 simulation time = 287.66	 ego_vehicle speed = 6.0040	 ego_vehicle location = 123.7340021631	 next light status = 69red
frame = 14385	 simulation time = 287.68	 ego_vehicle speed = 5.8460	 ego_vehicle location = 123.8509221631	 next light status = 69red
frame = 14386	 simulation time = 287.70	 ego_vehicle speed = 5.6880	 ego_vehicle location = 123.9646821631	 next light status = 69red
frame = 14387	 simulation time = 287.72	 ego_vehicle speed = 5.5300	 ego_vehicle location = 124.0752821631	 next light status = 69red
frame = 14388	 simulation time = 287.74	 ego_vehicle speed = 5.3720	 ego_vehicle location = 124.1827221631	 next light status = 69red
frame = 14389	 simulation time = 287.76	 ego_vehicle speed = 5.2140	 ego_vehicle location = 124.2870021631	 next light status = 69red
frame = 14390	 simulation time = 287.78	 ego_vehicle speed = 5.0560	 ego_vehicle location = 124.3881221631	 next light status = 69red
frame = 14391	 simulation time = 287.80	 ego_vehicle speed = 4.8980	 ego_vehicle location = 124.4860821631	 next light status = 69red
frame = 14392	 simulation time = 287.82	 ego_vehicle speed = 4.7400	 ego_vehicle location = 124.5808821631	 next light status = 69red
frame = 14393	 simulation time = 287.84	 ego_vehicle speed = 4.5820	 ego_vehicle location = 124.6725221631	 next light status = 69red
frame = 14394	 simulation time = 287.86	 ego_vehicle speed = 4.4240	 ego_vehicle location = 124.7610021631	 next light status = 69red
frame = 14395	 simulation time = 287.88	 ego_vehicle speed = 4.2660	 ego_vehicle location = 124.8463221631	 next light status = 69red
frame = 14396	 simulation time = 287.90	 ego_vehicle speed = 4.1080	 ego_vehicle location = 124.9284821631	 next light status = 68red
frame = 14397	 simulation time = 287.92	 ego_vehicle speed = 3.9500	 ego_vehicle location = 125.0074821631	 next light status = 68red
frame = 14398	 simulation time = 287.94	 ego_vehicle speed = 3.7920	 ego_vehicle location = 125.0833221631	 next light status = 68red
frame = 14399	 simulation time = 287.96	 ego_vehicle speed = 3.6340	 ego_vehicle location = 125.1560021631	 next light status = 68red
frame = 14400	 simulation time = 287.98	 ego_vehicle speed = 3.4760	 ego_vehicle location = 125.2255221631	 next light status = 68red
frame = 14401	 simulation time = 288.00	 ego_vehicle speed = 3.3180	 ego_vehicle location = 125.2918821631	 next light status = 68red
frame = 14402	 simulation time = 288.02	 ego_vehicle speed = 3.1600	 ego_vehicle location = 125.3550821631	 next light status = 68red
frame = 14403	 simulation time = 288.04	 ego_vehicle speed = 3.0020	 ego_vehicle location = 125.4151221631	 next light status = 68red
frame = 14404	 simulation time = 288.06	 ego_vehicle speed = 2.8440	 ego_vehicle location = 125.4720021631	 next light status = 68red
frame = 14405	 simulation time = 288.08	 ego_vehicle speed = 2.6860	 ego_vehicle location = 125.5257221631	 next light status = 68red
frame = 14406	 simulation time = 288.10	 ego_vehicle speed = 2.5280	 ego_vehicle location = 125.5762821631	 next light status = 68red
frame = 14407	 simulation time = 288.12	 ego_vehicle speed = 2.3700	 ego_vehicle location = 125.6236821631	 next light status = 68red
frame = 14408	 simulation time = 288.14	 ego_vehicle speed = 2.2120	 ego_vehicle location = 125.6679221631	 next light status = 68red
frame = 14409	 simulation time = 288.16	 ego_vehicle speed = 2.0540	 ego_vehicle location = 125.7090021631	 next light status = 68red
frame = 14410	 simulation time = 288.18	 ego_vehicle speed = 1.8960	 ego_vehicle location = 125.7469221631	 next light status = 68red
frame = 14411	 simulation time = 288.20	 ego_vehicle speed = 1.7380	 ego_vehicle location = 125.7816821631	 next light status = 68red
frame = 14412	 simulation time = 288.22	 ego_vehicle speed = 1.5800	 ego_vehicle location = 125.8132821631	 next light status = 68red
frame = 14413	 simulation time = 288.24	 ego_vehicle speed = 1.4220	 ego_vehicle location = 125.8417221631	 next light status = 68red
frame = 14414	 simulation time = 288.26	 ego_vehicle speed = 1.2640	 ego_vehicle location = 125.8670021631	 next light status = 68red
frame = 14415	 simulation time = 288.28	 ego_vehicle speed = 1.1060	 ego_vehicle location = 125.8891221631	 next light status = 68red
frame = 14416	 simulation time = 288.30	 ego_vehicle speed = 0.9480	 ego_vehicle location = 125.9080821631	 next light status = 68red
frame = 14417	 simulation time = 288.32	 ego_vehicle speed = 0.7900	 ego_vehicle location = 125.9238821631	 next light status = 68red
frame = 14418	 simulation time = 288.34	 ego_vehicle speed = 0.6320	 ego_vehicle location = 125.9365221631	 next light status = 68red
frame = 14419	 simulation time = 288.36	 ego_vehicle speed = 0.4740	 ego_vehicle location = 125.9460021631	 next light status = 68red
frame = 14420	 simulation time = 288.38	 ego_vehicle speed = 0.3160	 ego_vehicle location = 125.9523221631	 next light status = 68red
frame = 14421	 simulation time = 288.40	 ego_vehicle speed = 0.1580	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14422	 simulation time = 288.42	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14423	 simulation time = 288.44	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14424	 simulation time = 288.46	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14425	 simulation time = 288.48	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14426	 simulation time = 288.50	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14427	 simulation time = 288.52	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14428	 simulation time = 288.54	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14429	 simulation time = 288.56	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14430	 simulation time = 288.58	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14431	 simulation time = 288.60	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14432	 simulation time = 288.62	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14433	 simulation time = 288.64	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14434	 simulation time = 288.66	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14435	 simulation time = 288.68	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14436	 simulation time = 288.70	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14437	 simulation time = 288.72	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
