guo le ting zhi xian cai ting che, yin wei hong lv deng qu zheng shu

real world time stamp: 2023-06-26 14:25:02.987589	frame = 23902	 simulation time = 478.020	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.987734	frame = 23903	 simulation time = 478.040	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.987879	frame = 23904	 simulation time = 478.060	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.988024	frame = 23905	 simulation time = 478.080	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.988174	frame = 23906	 simulation time = 478.100	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.988320	frame = 23907	 simulation time = 478.120	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.988464	frame = 23908	 simulation time = 478.140	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.988607	frame = 23909	 simulation time = 478.160	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.988751	frame = 23910	 simulation time = 478.180	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.988899	frame = 23911	 simulation time = 478.200	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.989045	frame = 23912	 simulation time = 478.220	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.989189	frame = 23913	 simulation time = 478.240	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.989334	frame = 23914	 simulation time = 478.260	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.989479	frame = 23915	 simulation time = 478.280	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.989624	frame = 23916	 simulation time = 478.300	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.989768	frame = 23917	 simulation time = 478.320	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.989913	frame = 23918	 simulation time = 478.340	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.990058	frame = 23919	 simulation time = 478.360	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.990203	frame = 23920	 simulation time = 478.380	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.990349	frame = 23921	 simulation time = 478.400	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.990495	frame = 23922	 simulation time = 478.420	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.990639	frame = 23923	 simulation time = 478.440	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.990784	frame = 23924	 simulation time = 478.460	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.990928	frame = 23925	 simulation time = 478.480	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.991073	frame = 23926	 simulation time = 478.500	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.991219	frame = 23927	 simulation time = 478.520	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.991366	frame = 23928	 simulation time = 478.540	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.991511	frame = 23929	 simulation time = 478.560	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.991656	frame = 23930	 simulation time = 478.580	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.991801	frame = 23931	 simulation time = 478.600	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.991947	frame = 23932	 simulation time = 478.620	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.992107	frame = 23933	 simulation time = 478.640	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.992258	frame = 23934	 simulation time = 478.660	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.992404	frame = 23935	 simulation time = 478.680	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.992551	frame = 23936	 simulation time = 478.700	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.992698	frame = 23937	 simulation time = 478.720	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.992843	frame = 23938	 simulation time = 478.740	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.992989	frame = 23939	 simulation time = 478.760	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
