step,action,location, speed,EV location,EV speed,d to next tl,t1,,t2,,t3,,t4,,t5,,t6,,t7,,t8,,t9,,t10,,t11,,t12,,t13,,t14,,t15,,t16,,t17,
89,-0.473928,49.294777,6.108186,[49.294777,6.108186,50.705223,2,1,19,1,43,1,45,1,45,1,53,1,59,1,59,1,59,1,49,1,49,1,59,1,53,1,53,1,53,1,53,1,42, 2.0]
90,-0.487939,49.895836,6.010599,[49.895836,6.010599,50.104164,2,1,18,1,42,1,44,1,44,1,52,1,59,1,59,1,59,1,48,1,48,1,59,1,52,1,52,1,52,1,52,1,41, 2.0]
91,-0.221258,50.49247,5.966347,[50.49247,5.966347,49.50753,1,1,18,1,42,1,44,1,44,1,52,1,58,1,58,1,58,1,48,1,48,1,58,1,52,1,52,1,52,1,52,1,41, 2.0]
92,-0.430372,51.080498,5.880272,[51.080498,5.880272,48.919502,1,1,18,1,42,1,44,1,44,1,52,1,58,1,58,1,58,1,48,1,48,1,58,1,52,1,52,1,52,1,52,1,41, 2.0]
93,-0.445671,51.659611,5.791138,[51.659611,5.791138,48.340389,1,1,18,1,42,1,44,1,44,1,52,1,58,1,58,1,58,1,48,1,48,1,58,1,52,1,52,1,52,1,52,1,41, 2.0]
94,-0.459891,52.229527,5.69916,[52.229527,5.69916,47.770473,1,1,18,1,42,1,44,1,44,1,52,1,58,1,58,1,58,1,48,1,48,1,58,1,52,1,52,1,52,1,52,1,41, 2.0]
95,-0.473027,52.789982,5.604555,[52.789982,5.604555,47.210018,1,1,18,1,42,1,44,1,44,1,52,1,58,1,58,1,58,1,48,1,48,1,58,1,52,1,52,1,52,1,52,1,41, 2.0]
96,-0.485094,53.340736,5.507536,[53.340736,5.507536,46.659264,1,1,18,1,42,1,44,1,44,1,52,1,58,1,58,1,58,1,48,1,48,1,58,1,52,1,52,1,52,1,52,1,41, 2.0]
97,-0.496128,53.881569,5.40831,[53.881569,5.40831,46.118431,1,1,18,1,42,1,44,1,44,1,52,1,58,1,58,1,58,1,48,1,48,1,58,1,52,1,52,1,52,1,52,1,41, 2.0]
98,-0.506174,54.412277,5.307076,[54.412277,5.307076,45.587723,1,1,18,1,42,1,44,1,44,1,52,1,58,1,58,1,58,1,48,1,48,1,58,1,52,1,52,1,52,1,52,1,41, 2.0]
99,-0.515283,54.932678,5.204019,[54.932678,5.204019,45.067322,1,0,18,1,42,1,44,1,44,1,52,1,58,1,58,1,58,1,48,1,48,1,58,1,52,1,52,1,52,1,52,1,41, 2.0]
100,-0.469013,55.443699,5.110216,[55.443699,5.110216,44.556301,3,0,17,1,41,1,43,1,43,1,51,1,58,1,58,1,58,1,47,1,47,1,58,1,51,1,51,1,51,1,51,1,40, 2.0]
